,eventDate,decimalLatitude,decimalLongitude,genus,species
101038,2009-09-28,55.11073,14.73663,Accipiter,Accipiter nisus
101039,2009-09-28,55.55865,8.07632,Sylvia,Sylvia atricapilla
101040,2009-09-17,54.7281,10.69262,Erithacus,Erithacus rubecula
101041,2009-09-29,55.72761,12.18991,Aythya,Aythya fuligula
101042,2009-09-30,55.55865,8.07632,Mareca,Mareca penelope
101043,2009-09-30,55.63246,12.50294,Larus,Larus marinus
101044,2009-09-30,55.71743,12.61381,Falco,Falco tinnunculus
101045,2009-09-30,54.81443,11.14974,Aythya,Aythya fuligula
101046,2009-05-11,55.44781,12.1972,Anser,Anser anser
101047,2009-05-12,55.55876,12.56006,Haematopus,Haematopus ostralegus
101048,2001-12-07,55.72761,12.18991,Mergus,Mergus merganser
101049,2002-01-08,56.13272,9.56056,Bombycilla,Bombycilla garrulus
101050,2002-04-04,55.72761,12.18991,Haematopus,Haematopus ostralegus
101051,2009-11-20,55.09951,15.00782,Buteo,Buteo buteo
101052,2009-11-21,55.61508,12.40409,Podiceps,Podiceps cristatus
101053,2009-11-21,55.01064,12.44441,Gavia,Gavia arctica
101054,2009-11-21,56.14275,10.07385,Turdus,Turdus iliacus
101055,2009-11-21,57.72868,10.60905,Chloris,Chloris chloris
101056,2009-08-10,55.58468,12.53353,Accipiter,Accipiter nisus
101057,1999-04-25,54.92139,8.64934,Tringa,Tringa nebularia
101058,2009-11-21,56.31242,8.26336,Botaurus,Botaurus stellaris
101059,2009-11-21,57.03488,8.56539,Loxia,Loxia curvirostra
101060,2009-11-22,56.5325,10.80991,Corvus,Corvus corax
101061,2009-11-22,55.24926,14.83655,Anas,Anas platyrhynchos
101062,1976-09-20,55.32373,15.18358,Columba,Columba palumbus
101063,1979-04-24,55.32373,15.18358,Anthus,Anthus pratensis
101064,1989-10-01,55.32373,15.18358,Sylvia,Sylvia atricapilla
101065,1981-04-08,55.32373,15.18358,Turdus,Turdus pilaris
101066,1988-03-17,55.32373,15.18358,Passer,Passer domesticus
101067,1989-04-16,55.32373,15.18358,Clangula,Clangula hyemalis
101068,1996-04-18,55.32373,15.18358,Motacilla,Motacilla alba
101069,1982-10-13,55.32373,15.18358,Emberiza,Emberiza schoeniclus
101070,1999-09-27,55.32373,15.18358,Troglodytes,Troglodytes troglodytes
101071,1980-04-30,55.32373,15.18358,Erithacus,Erithacus rubecula
101072,1984-10-22,55.32373,15.18358,Anas,Anas platyrhynchos
101073,1989-05-11,55.32373,15.18358,Linaria,Linaria cannabina
101074,1993-09-23,55.32373,15.18358,Sylvia,Sylvia atricapilla
101075,1995-10-06,55.32373,15.18358,Turdus,Turdus philomelos
101076,2013-10-12,55.32373,15.18358,Branta,Branta leucopsis
101077,1987-04-04,55.32373,15.18358,Fulica,Fulica atra
101078,2024-07-20,56.27316,10.06518,Chroicocephalus,Chroicocephalus ridibundus
101079,2024-07-20,55.92838,12.52696,Calidris,Calidris ferruginea
101080,2024-07-21,56.51972,10.42147,Spinus,Spinus spinus
101081,2024-07-21,55.57615,12.56013,Cygnus,Cygnus olor
101082,2024-07-21,55.61274,12.37731,Phalacrocorax,Phalacrocorax carbo
101083,2024-07-21,55.51205,9.86378,Sturnus,Sturnus vulgaris
101084,2024-07-18,55.91185,8.72571,Picus,Picus viridis
101085,2024-05-09,55.00919,11.9223,Delichon,Delichon urbicum
101086,2024-07-25,55.28929,14.76669,Turdus,Turdus merula
101087,2024-07-26,56.53159,10.82412,Tringa,Tringa totanus
101088,2024-07-27,55.55633,11.28477,Calidris,Calidris alpina
101089,2024-07-11,55.57429,12.02787,Turdus,Turdus merula
101090,2024-07-25,55.91185,8.72571,Pernis,Pernis apivorus
101091,2024-07-29,56.27902,9.75643,Carduelis,Carduelis carduelis
101092,2024-07-29,57.74509,10.63559,Sterna,Sterna paradisaea
101093,2024-07-30,55.4991,12.20547,Larus,Larus marinus
101094,2024-07-30,55.92907,12.52047,Calidris,Calidris ferruginea
101095,2024-07-31,55.61274,12.37731,Motacilla,Motacilla alba
101096,2024-07-31,55.51066,9.8391,Turdus,Turdus merula
101097,2024-08-01,56.59323,8.28601,Anthus,Anthus pratensis
101098,2024-08-01,55.65066,12.58485,Phylloscopus,Phylloscopus collybita
101099,2024-08-01,55.71212,12.45551,Chroicocephalus,Chroicocephalus ridibundus
101100,2024-08-02,57.22983,9.81076,Aquila,Aquila chrysaetos
101101,2024-08-02,55.92838,12.52696,Charadrius,Charadrius hiaticula
101102,2024-08-03,56.02514,9.52144,Poecile,Poecile palustris
101103,2024-08-03,56.08679,10.22863,Turdus,Turdus merula
101104,2024-08-03,55.93763,11.6174,Falco,Falco tinnunculus
101105,2024-08-04,55.32373,15.18358,Linaria,Linaria cannabina
101106,2024-08-04,54.9695,9.73584,Pica,Pica pica
101107,2024-08-04,55.61274,12.37731,Delichon,Delichon urbicum
101108,2024-08-05,55.58314,9.27816,Corvus,Corvus cornix
101109,2024-08-05,54.55957,11.96971,Sterna,Sterna hirundo
101110,2023-07-11,55.97604,11.77679,Tringa,Tringa erythropus
101111,2023-07-11,57.63158,10.35315,Turdus,Turdus viscivorus
101112,2023-07-12,56.82806,8.82816,Lepus,Lepus europaeus
101113,2023-07-12,56.03268,12.13792,Larus,Larus argentatus
101114,2023-07-12,55.10365,10.23403,Coloeus,Coloeus monedula
101115,2023-07-12,55.29065,12.45185,Hippolais,Hippolais icterina
101116,2023-07-13,54.55276,11.98436,Chroicocephalus,Chroicocephalus ridibundus
101117,2023-07-13,56.148,10.16533,Corvus,Corvus cornix
101118,2023-07-13,54.88339,9.66734,Ardea,Ardea cinerea
101119,2023-07-14,55.97604,11.77679,Numenius,Numenius phaeopus
101120,2023-07-15,55.56112,12.5598,Sternula,Sternula albifrons
101121,2023-07-16,57.04859,9.08802,Tringa,Tringa totanus
101122,2023-07-18,56.09058,10.0402,Sylvia,Sylvia atricapilla
101123,2023-07-18,55.5841,12.53318,Ardea,Ardea cinerea
101124,2023-07-20,55.35608,10.3914,Ardea,Ardea cinerea
101125,2023-03-06,56.23119,9.25596,Fringilla,Fringilla coelebs
101126,2024-02-20,55.55633,11.28477,Anser,Anser anser
101127,2024-02-20,56.85252,8.35385,Fringilla,Fringilla coelebs
